tracker,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
DeepSORT,60.018,57.587,64.518,67.401,68.892,70.128,80.082,80.077,65.453,78.539,73.816,57.974,66.685,76.87,68.355,83.095,84.934,56.206,34.929,8.8652,20001,4069,3548,402,317,197,50,301,47.465,74.903,74.092,75.731,17834,6236,5715,23549,24070,971,564
LiteSORT,60.19,57.649,64.817,67.383,68.997,70.259,80.458,80.072,65.598,78.794,73.82,58.166,66.71,76.859,68.338,83.0,84.987,55.851,35.106,9.0426,19978,4092,3529,392,315,198,51,304,47.503,74.906,74.03,75.803,17819,6251,5688,23507,24070,971,564
SORT,59.572,57.237,64.067,65.975,69.769,68.259,84.207,79.866,64.48,78.5,73.397,57.617,65.696,76.793,67.092,80.827,85.475,53.901,35.993,10.106,19455,4615,3306,336,304,203,57,290,46.939,73.216,71.226,75.322,17144,6926,5617,22761,24070,1133,564
StrongSORT,64.66,62.965,67.361,72.681,74.236,72.339,82.712,83.62,69.789,79.724,79.167,63.115,71.712,81.399,73.353,85.629,87.461,62.411,31.383,6.2057,20611,3459,2955,395,352,177,35,302,55.784,77.639,76.826,78.469,18492,5578,5074,23566,24070,955,564
