tracker,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
DeepSORT,38.315,43.615,34.444,49.833,70.069,39.288,66.478,82.425,41.179,49.536,74.133,36.723,39.533,81.147,42.835,56.978,80.115,24.249,53.17,22.581,144695,109256,35915,8386,872,1912,812,9656,28.791,41.168,35.224,49.527,89451,164500,91159,180610,253951,7401,3596
LiteSORT,37.965,43.676,33.778,49.91,70.105,38.642,65.724,82.459,40.806,49.003,74.2,36.36,39.795,81.205,42.874,57.033,80.111,24.861,52.586,22.553,144837,109114,35958,7819,894,1891,811,9548,29.076,40.709,34.845,48.945,88490,165461,92305,180795,253951,7374,3596
LiteSORT,37.974,43.677,33.792,49.911,70.106,38.658,65.727,82.459,40.815,49.014,74.2,36.369,39.797,81.205,42.875,57.034,80.112,24.861,52.586,22.553,144838,109113,35957,7817,894,1891,811,9547,29.077,40.718,34.854,48.957,88511,165440,92284,180795,253951,7374,3596
SORT,35.152,43.237,29.475,48.277,72.524,30.694,87.055,82.667,37.381,44.0,75.102,33.045,38.644,81.321,43.219,54.893,82.463,22.303,52.642,25.056,139401,114550,29646,11619,802,1893,901,9622,28.39,35.058,29.197,43.862,74147,179804,94900,169047,253951,20570,3596
StrongSORT,37.986,44.152,33.407,50.695,70.442,38.394,64.928,83.185,40.921,48.393,74.998,36.294,39.115,82.06,42.833,57.4,79.759,25.89,51.641,22.469,145768,108183,36993,9443,931,1857,808,9702,28.817,40.523,34.843,48.416,88485,165466,94276,182761,253951,7084,3596
