seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,STDA,ATA,FDA,SFDA,VACE_IDs,VACE_GT_IDs,num_non_empty_timesteps,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-FRCNN,0.3902166501920809,0.7962098687342395,0.3106943478273514,0.3902166501920809,0.39011368661045304,0.3891048745117544,0.38850332846847624,0.38691017321133103,0.3857168589157893,0.3843273929419465,0.3808063259072374,0.3767769238723421,0.371628332254028,0.363645343421016,0.35317222669959936,0.3398273074288961,0.32244454188411464,0.2974292774063872,0.2697676021908193,0.2226578362750115,0.15010020213306596,0.04911766304343495,0.3269613972298834,0.3717941910476292,0.3712845010615711,0.370266256497295,0.36903184780880716,0.3667142781569063,0.3647649234020074,0.36160008432591967,0.3564527984878715,0.3496499843276565,0.34172942092962866,0.3284142328259975,0.31002484661021246,0.2872446437468859,0.26283116629191516,0.23511975904766458,0.20235491227253688,0.15484332394618033,0.09442514614928409,0.02719573774402608,0.29082852919368396,0.40955194501041087,0.40989776854585397,0.4089019744901173,0.40900219622584727,0.4082183079611919,0.4078722643182859,0.4084831596234382,0.4068237322476885,0.406008456244269,0.40414318719824344,0.4026559222293261,0.40232459777255963,0.4020356911376714,0.3955789720743432,0.3762515554490329,0.3596382137428394,0.32017209906900074,0.2386024443612479,0.08871040181207676,0.3718354152375497,0.37683655346859696,0.3764598245519617,0.3757063667186911,0.37479145363543404,0.37306926430224424,0.37161616705236533,0.36924815671922934,0.36537323071955224,0.36020666271998275,0.35412518163715623,0.34373822722135516,0.3290457994725795,0.31026317205747805,0.28938162639255155,0.2646789731446101,0.23400247564716645,0.18642699531779774,0.11996125074000323,0.03681179699693235,0.30588121992187833,0.9652605459057072,0.9642955610697547,0.9623655913978495,0.9600220567962503,0.9556106975461814,0.9518886131789358,0.945822994210091,0.9358974358974359,0.9226633581472291,0.9070857457954232,0.880479735318445,0.8428453267162944,0.7947339398952302,0.7412462089881444,0.6779707747449683,0.5993934381031155,0.4775296388199614,0.30727874276261374,0.09429280397022333,0.7835096425928344,0.41891830398198454,0.41927517050762475,0.41870605457555576,0.4190645669434245,0.4189381536054632,0.4189981276569075,0.4199788714377406,0.4189732531123731,0.41892094615090036,0.41843661211212907,0.4187664516124583,0.42041362394500326,0.4230767710059287,0.4221646631192376,0.4103999858551693,0.40250977728514714,0.3751065384614318,0.30762080925570007,0.1363537998447558,0.3950853937088913,0.9460352740823281,0.9461339909128501,0.9456895156748821,0.9456639391276342,0.9448705867303502,0.9445093725457921,0.9437207389450031,0.9392140889575494,0.9357291370621775,0.9277025166677431,0.9132557862953374,0.8951931133393242,0.8755470013182228,0.8560045982008856,0.8136913348401016,0.7649381506205821,0.6786690345401384,0.5258233596877809,0.22074258744361777,0.8401649540522265,0.7962098687342395,0.7969294179114634,0.7982839501459693,0.7998267327177997,0.8024607471483967,0.8045190588525448,0.8075676767055239,0.8121381298417091,0.8176671115744705,0.8235281641345921,0.8324823828302609,0.8439158403943835,0.8570427584578255,0.8702083166102239,0.8836210174919062,0.8977495023156473,0.9159587716826886,0.9378369305353659,0.9643370750888168,0.8453833396407276,0.39285384486356195,0.39282316890811414,0.39195289918532417,0.39152334242490616,0.39024825922198403,0.3893223953395574,0.38837051090653274,0.38554182832051315,0.38242247718961325,0.37830844502072275,0.37203256965928183,0.3638450479552468,0.3531810708584117,0.33833901091297053,0.31557229811932536,0.2900969361319578,0.24431275532404376,0.16918347335126244,0.05714533491915564,0.336161877295394,7002.0,6995.0,6981.0,6964.0,6932.0,6905.0,6861.0,6789.0,6693.0,6580.0,6387.0,6114.0,5765.0,5377.0,4918.0,4348.0,3464.0,2229.0,684.0,5683.578947368421,11579.0,11586.0,11600.0,11617.0,11649.0,11676.0,11720.0,11792.0,11888.0,12001.0,12194.0,12467.0,12816.0,13204.0,13663.0,14233.0,15117.0,16352.0,17897.0,12897.421052631578,252.0,259.0,273.0,290.0,322.0,349.0,393.0,465.0,561.0,674.0,867.0,1140.0,1489.0,1877.0,2336.0,2906.0,3790.0,5025.0,6570.0,1570.421052631579,0.3207577633066035,0.8215874847889925,0.32635487863947044,0.3583768365534686,0.9179762889440308,0.11290322580645161,0.4032258064516129,0.4838709677419355,0.25681885050373504,0.5155022256628604,0.9916666666666667,0.32624632509879453,5470.951061209901,6659,11922,595,104,7,25,30,220.0,600,0.38095606735049353,0.26484042839459665,0.6783843396746623,4921,13660,2333,15.808772384582948,0.1646747123394057,260.235227868064,0.43372537978010667,130,62,600,7254,18581,130,62
MOT17-04-FRCNN,0.6168761894330376,0.779426930464555,0.48080991480646385,0.6168761894330376,0.6147216712630456,0.610321774421224,0.604801949908378,0.5999441075226324,0.5845496487370319,0.5687039342659502,0.5598588069156357,0.5472043807692479,0.5261317123623567,0.5084357546675075,0.4952063484863379,0.48082948199567266,0.4615095455987835,0.4374472433534869,0.39989678247428706,0.33628498019096814,0.21950768224985767,0.048833264645752765,0.48531922417164186,0.6230706742485784,0.6201347305389222,0.6151311016685667,0.6052490626673809,0.5983344273055464,0.5781031654413998,0.5488064240424559,0.5367715215461986,0.5220924327069578,0.498932384341637,0.47128129602356406,0.4505482231612651,0.4332327839905827,0.40953655801164934,0.3818652574083598,0.34130891314077183,0.27676099031639656,0.1681583089723409,0.033791044776119404,0.45858470001624707,0.6107432893521277,0.6093558617367494,0.6055500483104673,0.6043551674428551,0.6015581182115799,0.591068017380064,0.5893228480586262,0.5839391083530535,0.5735241799628283,0.5548138133358781,0.5485193637122244,0.544290965927075,0.5336553448855628,0.5200782604436917,0.501119405353307,0.4685416362605503,0.40861101043451503,0.2865372687271126,0.07057158935930322,0.5161134366972405,0.6289925773282588,0.6271631936413147,0.6240301112349391,0.6177849738208886,0.6133692200937823,0.6002270959059655,0.5805875055196922,0.5723027104316925,0.5620203124671447,0.5453876400950438,0.5248438715646487,0.5089261307483651,0.49527934899173626,0.47606030657947307,0.45278297621801206,0.41693126143364806,0.3551737914502597,0.23586433122358433,0.05355678449019072,0.49954127069677057,0.98511444096822,0.9822493001811295,0.9773423349250782,0.9675613370657007,0.9606454799934134,0.9400625720401778,0.9093034743948625,0.8963280092211428,0.8802239420385312,0.8541742137329161,0.8219990120204183,0.7970689939074592,0.7756957022888193,0.7455952576980076,0.7091388111312367,0.6529886382348098,0.5562654371809649,0.36940556561831056,0.08387946649102586,0.7823706310069592,0.6159083330949695,0.6153432368075982,0.6129752624497943,0.6125260951483573,0.6112622965620301,0.6050680233082206,0.6026514919234741,0.6002668573560441,0.594531264929041,0.5798415916248717,0.57454414022427,0.5737061030178316,0.5680142762068766,0.5603428803749941,0.5486253984849623,0.5271424971299138,0.48168927794510985,0.37290577695439436,0.11735879677143686,0.5460370315954837,0.9807025522892788,0.9795232986339663,0.9762699355429832,0.9743241866826363,0.9702493138358249,0.9599998554019374,0.9598029695405764,0.952726731288569,0.9422573745669413,0.9273152521229069,0.9174640765932969,0.9146749777612788,0.9004078679618587,0.8778731185226267,0.8490523513250418,0.7996287306622514,0.7098092880317126,0.5278453906299758,0.1540861811832828,0.8565270238198393,0.779426930464555,0.7814792970865299,0.7847683275294564,0.7909713178157068,0.7950329078166039,0.8064355647104988,0.8226841636380827,0.829160223193932,0.8365525064802789,0.8474957498819491,0.8601059341134762,0.8690789577319494,0.875779896202015,0.8838501336144075,0.8919351988898181,0.9018670795649314,0.9147769914434711,0.9334702514065008,0.9629002943411673,0.85093535399607,0.6198007709381567,0.6181954127222841,0.6147206389942538,0.6110331752836363,0.60743496261618,0.5956299518618355,0.5849388705669323,0.578091631523514,0.5677431098922925,0.5500805362375465,0.5365510474119881,0.5263115952461588,0.5141093967249403,0.4975827731263844,0.47633846768497584,0.4419837728246329,0.38095658782116937,0.2599690775052927,0.061478349054333255,0.50752369094929,29913.0,29826.0,29677.0,29380.0,29170.0,28545.0,27611.0,27217.0,26728.0,25937.0,24960.0,24203.0,23554.0,22640.0,21533.0,19828.0,16891.0,11217.0,2547.0,23756.684210526317,17644.0,17731.0,17880.0,18177.0,18387.0,19012.0,19946.0,20340.0,20829.0,21620.0,22597.0,23354.0,24003.0,24917.0,26024.0,27729.0,30666.0,36340.0,45010.0,23800.315789473683,452.0,539.0,688.0,985.0,1195.0,1820.0,2754.0,3148.0,3637.0,4428.0,5405.0,6162.0,6811.0,7725.0,8832.0,10537.0,13474.0,19148.0,27818.0,6608.315789473684,0.45187879807389025,0.8460689876206254,0.45400256534264144,0.5462497634417646,0.8555244524946485,0.2289156626506024,0.43373493975903615,0.3373493975903614,0.36779401897530556,0.6667693334360001,4.1780952380952385,0.453960419677991,21979.180160408607,25978,21579,4387,101,19,36,28,386.0,1050,0.5484458817792152,0.44931345543242845,0.7037049234315824,21368,26189,8997,33.29957450710875,0.250372740654953,627.4917543860956,0.5976111946534244,183,83,1050,30365,47557,183,83
MOT17-05-FRCNN,0.5352282643738453,0.6737680556642773,0.36061970702373153,0.5352282643738453,0.5329772980221417,0.53062420221505,0.5286354755410287,0.5240381128945332,0.5176259491926885,0.5084129998087286,0.496006820871612,0.4650911639077581,0.4304463161068829,0.4030245999633268,0.3693435905528176,0.33616744870670234,0.2946396548869891,0.24857579173842617,0.19356074877238827,0.12464831229434756,0.05780815538218675,0.009020011245383031,0.37399341665667557,0.6137724550898204,0.6049974106680477,0.5948797118229769,0.5879339054694505,0.578230426479949,0.5635010720141254,0.5482702635194205,0.5280414150129422,0.4902031494169972,0.4420146562754449,0.3981053343859253,0.33992650237786426,0.2892054908485857,0.24069255404323459,0.1950067476383266,0.14596043630985395,0.09090109116508271,0.03801389935527087,0.0045377197958026095,0.3839049600889011,0.46673533914570425,0.46953060492162096,0.47330920584520614,0.47531782637599623,0.4749247552361137,0.4754855608702645,0.4714532149076773,0.46591566372712157,0.4412656079470974,0.4191807407728248,0.4080046513974622,0.4013064204414637,0.3907552143577359,0.3606780715631539,0.3168604419421702,0.25668437566049024,0.17092426018971055,0.0879094985089365,0.01792984285677906,0.37074585771934365,0.6816538961977736,0.6755818996674859,0.6684979037154836,0.6635824779528697,0.6566430533468267,0.6459447737458436,0.6346682087610236,0.6193436460893451,0.5895619488217435,0.5493711146450774,0.510336851236085,0.4546768830417811,0.4020529131126211,0.34769408703195026,0.2924678328755241,0.22827815526962555,0.1493422003758855,0.06563539106549082,0.008095995373716929,0.46544364380663966,0.8604014598540146,0.8527372262773723,0.8437956204379562,0.8375912408759124,0.8288321167883211,0.8153284671532847,0.801094890510949,0.7817518248175183,0.7441605839416059,0.6934306569343066,0.6441605839416058,0.573905109489051,0.5074817518248175,0.43886861313868614,0.36916058394160584,0.2881386861313869,0.1885036496350365,0.08284671532846716,0.010218978102189781,0.5874951978486361,0.5064744619007251,0.5084810878478334,0.5116257010072314,0.5133795273378747,0.5134200889796481,0.5146407552157056,0.5123329350445424,0.5090724914532446,0.4914144021411423,0.4722696166851379,0.4631112262181788,0.45697873948519213,0.45158705650795355,0.4321557111583042,0.3983286172386887,0.3442088146572657,0.2518727964971496,0.145084795762469,0.03158425530289277,0.4225275305495358,0.8174237807056173,0.8217103834996298,0.8254045006703075,0.8268412083778123,0.8266865283856262,0.8266356823066486,0.8201103303168794,0.8099074599772024,0.7816466661044978,0.7527682686488629,0.7293156207407936,0.7021080721206486,0.6758226943625529,0.6347962627938788,0.5747031991037165,0.48756237648856143,0.3484516774977498,0.1922692567514753,0.045846239943700316,0.6578952741471663,0.6737680556642773,0.6791533608245989,0.685013074167443,0.688774469323748,0.6936486846141281,0.7005467932008641,0.707228987484308,0.7153966860625397,0.7299191050068902,0.7486327797404897,0.7656347910536347,0.7887727566788273,0.8101998141031392,0.8313569542690145,0.851292246012419,0.872587391727338,0.8969772100949142,0.9269444615255851,0.9636937492981457,0.7752390195185423,0.5640496098942526,0.5632107758423772,0.5624999661482306,0.5616160441456026,0.5584407232538079,0.5541997952325123,0.5470067343461883,0.5371795844435012,0.5100523617917108,0.47988101733254257,0.4563110880571032,0.4271589310677926,0.39636381298811124,0.35412657737678377,0.3044199184987857,0.2420649412085779,0.1597692245532654,0.07596034697791493,0.01204823326550224,0.4140189308644507,4715.0,4673.0,4624.0,4590.0,4542.0,4468.0,4390.0,4284.0,4078.0,3800.0,3530.0,3145.0,2781.0,2405.0,2023.0,1579.0,1033.0,454.0,56.0,3219.4736842105262,2202.0,2244.0,2293.0,2327.0,2375.0,2449.0,2527.0,2633.0,2839.0,3117.0,3387.0,3772.0,4136.0,4512.0,4894.0,5338.0,5884.0,6463.0,6861.0,3697.5263157894738,765.0,807.0,856.0,890.0,938.0,1012.0,1090.0,1196.0,1402.0,1680.0,1950.0,2335.0,2699.0,3075.0,3457.0,3901.0,4447.0,5026.0,5424.0,2260.5263157894738,0.32875524071129103,0.7440672615735403,0.34986265722133875,0.571056816538962,0.7208029197080292,0.17293233082706766,0.6240601503759399,0.20300751879699247,0.18260310585737807,0.6372509478099541,1.8279569892473118,0.3495497538158473,2939.065683215484,3950,2967,1530,146,23,83,27,225.0,837,0.4857626845204485,0.4353043226832442,0.5494525547445256,3011,3906,2469,47.79867690337093,0.2795244263355025,432.6242113135001,0.5168748044366788,209,133,837,5480,6917,209,133
MOT17-09-FRCNN,0.5710759170144298,0.7882936108492653,0.4501754966923603,0.5710759170144298,0.570680702883735,0.5688513990352004,0.563270080663754,0.5600514138885613,0.5574490168950926,0.5530977327806978,0.5464387458070276,0.5379133458056768,0.5276350962201471,0.518923923675817,0.5021979918840027,0.48046900602926595,0.4499810357506592,0.40186418504574395,0.34007082251140786,0.24829149383479326,0.13872061354921722,0.02527357465176833,0.4559082156803684,0.7284898250624777,0.726332679622036,0.7235671057315771,0.7153232949512843,0.7110796960593745,0.705654394926898,0.6972830850131464,0.6837071813597635,0.6640316205533597,0.6417429637165141,0.6216714118238151,0.5889399409255005,0.549775928297055,0.4979888613861386,0.4313377679231338,0.346357063403782,0.23618026298991446,0.12058789491956949,0.020552276559865093,0.5479264871171162,0.4476764009242026,0.44838470549521064,0.44721755815188796,0.4435381680007487,0.44110046727081137,0.4403705392772297,0.43872726670457035,0.436729803430334,0.4357484773913809,0.43381666882790304,0.4331581498546069,0.4282318204739113,0.41989918778331387,0.4066013283341925,0.37440455075396734,0.3338986743537642,0.2610237838262791,0.15957993657909333,0.031079456030962422,0.3821677338665458,0.7663849765258216,0.7650704225352113,0.7633802816901408,0.7583098591549295,0.7556807511737089,0.7523004694835681,0.7470422535211267,0.7384037558685446,0.7256338028169014,0.7107981220657277,0.6970892018779342,0.6739906103286385,0.6450704225352113,0.6045070422535211,0.547981220657277,0.46779342723004697,0.3474178403755869,0.19568075117370892,0.036619718309859155,0.6157449962935508,0.9364387333639284,0.934832491968793,0.9327673244607618,0.9265718219366682,0.9233593391463975,0.919229004130335,0.9128040385497935,0.9022487379531895,0.8866452501147315,0.8685176686553465,0.851766865534649,0.8235429095915557,0.7882055988985773,0.7386415787058284,0.6695731987150069,0.5715924736117485,0.424506654428637,0.2391005048187242,0.04474529600734282,0.7523731310837902,0.48395342309010525,0.48472243541117804,0.4842976157258906,0.48215289123566685,0.48082907088821936,0.48047518860763827,0.47960784522154876,0.47837826602096567,0.4779965759500786,0.47716856845814437,0.477202645401876,0.47391671949288905,0.4677804698452717,0.4596096402161947,0.4363494831218412,0.4057633399757353,0.3396010785777566,0.23574917123140796,0.05189986854243931,0.4293396998428867,0.8633529472296242,0.8635990797317263,0.8625782740701489,0.8586643305052918,0.857078528469676,0.8557048993326833,0.8520502848121624,0.8479644263932932,0.8440941196977777,0.8373602707556552,0.8281991200905763,0.8111685503029995,0.7970161740750541,0.7721625143199892,0.7208046224683733,0.6432574422494802,0.518051148137148,0.3260635863912159,0.07723229723850074,0.7387580324353356,0.7882936108492653,0.7895174137861577,0.7909549281676405,0.7951098671456281,0.7970784383330433,0.7994374151407811,0.8027862692116674,0.807804624042859,0.8144683966502038,0.8215584647250531,0.8273931651730659,0.8359382793268532,0.8453024479462955,0.8565678407537655,0.8697857751495744,0.885752779347159,0.9067291779282137,0.9300623808164117,0.961264471883017,0.8382003024408765,0.5857409564077445,0.5857011832765469,0.584291935182033,0.5799477267017117,0.5773483631658453,0.5755788073278862,0.5724926252801399,0.567875802577192,0.5623111458269188,0.5552981843331412,0.5494996532929485,0.5372375880775241,0.5204464876292031,0.4957755201375473,0.4529532677239435,0.39521589697723036,0.30113837228687734,0.17671084251411912,0.033736047858003416,0.484700021398766,4081.0,4074.0,4065.0,4038.0,4024.0,4006.0,3978.0,3932.0,3864.0,3785.0,3712.0,3589.0,3435.0,3219.0,2918.0,2491.0,1850.0,1042.0,195.0,3278.842105263158,1244.0,1251.0,1260.0,1287.0,1301.0,1319.0,1347.0,1393.0,1461.0,1540.0,1613.0,1736.0,1890.0,2106.0,2407.0,2834.0,3475.0,4283.0,5130.0,2046.157894736842,277.0,284.0,293.0,320.0,334.0,352.0,380.0,426.0,494.0,573.0,646.0,769.0,923.0,1139.0,1440.0,1867.0,2508.0,3316.0,4163.0,1079.157894736842,0.603943661971831,0.820962051876369,0.6140845070422535,0.7162441314553991,0.8751720972923359,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.4757087823204641,0.7877723845915522,1.036190476190476,0.6137591748807844,3131.149265856471,3814,1511,544,54,12,12,2,72.0,525,0.5535474543013529,0.5032863849765258,0.6149609912804038,2680,2645,1678,12.66825280760543,0.20269204492168688,350.5744376453007,0.6677608336100965,99,26,525,4358,5325,99,26
MOT17-10-FRCNN,0.498404907395512,0.7275796745955222,0.362629280339638,0.498404907395512,0.49750655671455724,0.49504950086266447,0.493192927673949,0.49175266157181213,0.4882214458909866,0.4840902680449856,0.47845427159673215,0.46720631336400353,0.45572479018551637,0.436139262235944,0.408140792093961,0.3719237432792321,0.3260952846352142,0.2623281820053343,0.19333165102937747,0.11989067421447752,0.05900670513134461,0.015894365376356613,0.37065022648957696,0.6366061899679829,0.6349859112024979,0.6322511974454497,0.6289074355083459,0.6253312135665077,0.6185916767189384,0.6076830912086266,0.5928921204926547,0.5677669052139623,0.5391067460032978,0.5024844285814263,0.45601898948796205,0.40137075718015663,0.3377157455293165,0.2602876430877605,0.18110799361830884,0.10120024620434961,0.041729341549808334,0.007886953664147224,0.4407328729595527,0.39020583781697465,0.3897925443814182,0.3876212639763614,0.38676480857789636,0.3867081554809388,0.385327170084421,0.3856342080372489,0.3861047939361096,0.3844566092927241,0.3852392609243337,0.3785539317123124,0.36528940682520245,0.34463714244320864,0.314874672173348,0.2643847178370326,0.20638032890209437,0.14203299204013398,0.08343748358218325,0.032031486613841996,0.3157619376125149,0.6504400654256562,0.6494275255082171,0.6477139964171664,0.6456110288963315,0.6433522860035829,0.6390684632759561,0.6320585715398396,0.6224004984811902,0.6055767583145105,0.5857153983955137,0.5592335851701846,0.5237168003738609,0.478931380948672,0.42215125788612823,0.34535399953267387,0.25640626216995094,0.15367240439286547,0.06698340992289119,0.013085131240750838,0.4810999380997865,0.9676709154113557,0.9661645422943221,0.9636152954808807,0.960486674391657,0.9571263035921205,0.9507531865585168,0.9403244495944381,0.9259559675550405,0.9009269988412515,0.8713789107763615,0.831981460023175,0.7791425260718424,0.7125144843568946,0.6280417149478563,0.5137891077636153,0.381460023174971,0.22862108922363847,0.0996523754345307,0.019466975666280417,0.715740684271513,0.39892507133049104,0.39870316858223437,0.3974282975846733,0.3966539053115664,0.3967211425396886,0.39620688418890604,0.3971419354734212,0.39836816023113575,0.3986764569370532,0.40131009499425063,0.39888576787355884,0.39139881866101434,0.37825053134189834,0.35789503884260254,0.31666382341211124,0.2628340809619292,0.19492950781741628,0.12515445092303845,0.05358777991335803,0.3399860482589657,0.8904839382124673,0.890147865876446,0.8884257457690563,0.8867321385916728,0.8850933135531337,0.881651251985418,0.8768416782781907,0.8713130964945303,0.862708004835105,0.8546282398666528,0.8382085103726931,0.811955632296339,0.7666873983181312,0.7046349182184285,0.6143526242521162,0.4948792396609001,0.35746509092025025,0.2165442764481758,0.08817298770142182,0.7200487342974278,0.7275796745955222,0.728588031917557,0.7301697444765709,0.7319910521497898,0.7337535325462621,0.7368250025742021,0.7413806462025221,0.7470308323465807,0.7559258766076106,0.7654455863841383,0.7767763057971315,0.790379044253793,0.8057812233859084,0.8230732614631293,0.844723348867601,0.8685832465263569,0.8981427007262128,0.9298477988360878,0.963061895472117,0.7946873055331103,0.5037911379521737,0.503132196901745,0.5010665803926684,0.49969953572808967,0.4987881071606368,0.4962362768322404,0.49370376408218813,0.4902160913432073,0.4825121627151757,0.47501638623303233,0.46010876150291435,0.4373879277631707,0.4062727440482934,0.3645884514551457,0.3021693560246252,0.23003740721715482,0.1477381175929899,0.074759127641512,0.020472816273743977,0.38882615520319513,8351.0,8338.0,8316.0,8289.0,8260.0,8205.0,8115.0,7991.0,7775.0,7520.0,7180.0,6724.0,6149.0,5420.0,4434.0,3292.0,1973.0,860.0,168.0,6176.8421052631575,4488.0,4501.0,4523.0,4550.0,4579.0,4634.0,4724.0,4848.0,5064.0,5319.0,5659.0,6115.0,6690.0,7419.0,8405.0,9547.0,10866.0,11979.0,12671.0,6662.1578947368425,279.0,292.0,314.0,341.0,370.0,425.0,515.0,639.0,855.0,1110.0,1450.0,1906.0,2481.0,3210.0,4196.0,5338.0,6657.0,7770.0,8462.0,2453.157894736842,0.49692343640470443,0.7649269970859497,0.5096970169016278,0.5909338733546227,0.8791425260718424,0.22807017543859648,0.5964912280701754,0.17543859649122806,0.3580108362716022,0.7067865294145046,1.5948012232415902,0.5095245078395476,5803.5011268911,7587,5252,1043,164,13,34,10,380.0,654,0.45908053472448646,0.38383051639535787,0.5710312862108923,4928,7911,3702,20.957169168116152,0.16632673942949328,370.91943742087005,0.5671551030900154,195,57,654,8630,12839,195,57
